연도,선수이름,팀,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,팀아이디,선수아이디,팀승률,팀순위
2015,필,5,0.325,143,591,536,81,174,35,1,22,277,101,0,9,43,6,3,74,12,0.517,0.3720000000000001,0.889,55,0.333,58,139,158,0.88,15,0.58,3.56,0.192,96.1,t1505,12,0.465,7
2015,이범호,5,0.27,138,514,437,60,118,25,0,28,227,79,0,4,57,1,16,91,16,0.519,0.3720000000000001,0.8909999999999999,29,0.245,53,99,133,0.74,7,0.63,4.02,0.249,80.9,t1505,46,0.465,7
2015,손아섭,6,0.317,116,517,445,86,141,28,1,13,210,54,0,3,68,3,1,96,6,0.472,0.406,0.878,39,0.354,42,144,67,2.15,7,0.71,4.15,0.155,83.4,t1506,15,0.462,8
2015,아두치,6,0.314,132,594,526,105,165,34,5,28,293,106,1,4,55,8,8,118,9,0.557,0.384,0.941,45,0.354,67,140,107,1.31,10,0.47,4.02,0.243,105.6,t1506,20,0.462,8
2015,강민호,6,0.311,123,456,380,63,118,18,1,35,243,86,0,2,60,2,14,112,14,0.639,0.421,1.06,32,0.322,54,73,79,0.92,7,0.54,4.21,0.329,92.5,t1506,21,0.462,8
2015,최준석,6,0.306,144,618,507,78,155,18,1,31,268,109,1,1,108,4,1,134,17,0.529,0.428,0.957,38,0.34,50,129,90,1.43,10,0.81,4.51,0.223,109.2,t1506,23,0.462,8
2015,정훈,6,0.3,135,562,486,85,146,27,2,9,204,62,7,3,52,2,14,102,14,0.42,0.382,0.802,40,0.295,38,128,113,1.13,2,0.51,4.04,0.119,76.5,t1506,28,0.462,8
2015,황재균,6,0.29,144,596,534,95,155,41,2,26,278,97,4,6,48,1,4,122,14,0.521,0.35,0.871,43,0.242,69,109,154,0.71,7,0.39,3.71,0.23,90.5,t1506,34,0.462,8
2015,이명기,9,0.315,137,582,521,88,164,30,2,3,207,35,11,4,35,0,11,86,7,0.397,0.368,0.765,45,0.28800000000000003,35,177,98,1.81,1,0.41,3.87,0.083,75.4,t1509,19,0.486,5
2015,김성현,9,0.297,129,449,397,49,118,20,0,8,162,48,12,2,31,0,7,42,14,0.408,0.35700000000000004,0.765,34,0.324,28,121,118,1.03,5,0.74,3.49,0.111,53.3,t1509,29,0.486,5
2015,이재원,9,0.282,140,559,489,58,138,18,1,17,209,100,0,5,54,5,11,85,22,0.4270000000000001,0.363,0.79,37,0.319,36,115,156,0.74,11,0.64,3.66,0.145,71.8,t1509,39,0.486,5
